extroversion,critical,dependable,anxious,open,reserved,sympathetic,disorganized,calm,conventional,control
Agree moderately,Disagree moderately,Agree strongly,Agree a little,Agree moderately,Agree a little,Agree strongly,Disagree moderately,Neither agree nor disagree,Disagree a little,No
Agree a little,Agree a little,Agree moderately,Agree a little,Agree moderately,Agree strongly,Agree a little,Disagree strongly,Neither agree nor disagree,Disagree moderately,No
Agree a little,Agree strongly,Agree a little,Agree strongly,Disagree a little,Disagree a little,Agree a little,Disagree moderately,Disagree moderately,Disagree a little,No
Agree strongly,Agree moderately,Agree strongly,Agree a little,Agree strongly,Disagree moderately,Agree strongly,Disagree strongly,Agree a little,Disagree strongly,No
Agree strongly,,Agree strongly,Agree moderately,Agree strongly,Disagree strongly,Agree a little,Disagree moderately,Agree moderately,Disagree strongly,No
Agree a little,Agree a little,Disagree a little,Agree a little,Agree moderately,Disagree a little,Disagree a little,Agree a little,Disagree a little,Disagree a little,Yes
Agree moderately,Agree moderately,Agree strongly,Disagree a little,Agree strongly,Disagree moderately,Agree a little,Disagree a little,Disagree moderately,Disagree moderately,No
Disagree a little,Agree a little,Agree strongly,Disagree a little,Agree a little,Agree moderately,Disagree moderately,Disagree strongly,Agree moderately,Disagree strongly,No
Agree strongly,Neither agree nor disagree,Agree strongly,Disagree moderately,Agree moderately,Disagree moderately,Agree moderately,Disagree strongly,Agree moderately,Disagree moderately,Yes
Agree a little,Agree a little,Disagree a little,Agree a little,Agree a little,Disagree moderately,Agree moderately,Agree a little,Neither agree nor disagree,Agree a little,No
Agree strongly,Neither agree nor disagree,Disagree a little,Disagree strongly,Agree strongly,Disagree strongly,Agree moderately,Disagree moderately,Disagree moderately,Disagree moderately,No
Agree moderately,Agree moderately,Agree a little,Agree moderately,Agree strongly,Agree a little,Neither agree nor disagree,Agree a little,Agree a little,Disagree strongly,No
Disagree a little,Agree a little,Agree strongly,Neither agree nor disagree,Agree moderately,Agree a little,Agree a little,Disagree strongly,Agree strongly,Disagree a little,No
Disagree moderately,Agree moderately,Agree strongly,Agree a little,Agree a little,Agree a little,Agree strongly,Disagree strongly,Disagree moderately,Disagree strongly,No
Agree moderately,Disagree a little,Agree a little,Neither agree nor disagree,Agree strongly,Disagree strongly,Neither agree nor disagree,Disagree moderately,Disagree moderately,Disagree strongly,Yes
Disagree strongly,Disagree a little,Agree moderately,Disagree strongly,Agree moderately,Agree a little,Disagree moderately,Disagree moderately,Agree a little,Disagree strongly,No
Agree a little,Disagree moderately,Agree strongly,Agree moderately,Agree a little,Neither agree nor disagree,Agree moderately,Disagree strongly,Neither agree nor disagree,Neither agree nor disagree,No
Agree a little,,Agree moderately,Agree moderately,Agree a little,Agree moderately,Agree moderately,Agree moderately,Agree moderately,Disagree moderately,No
Agree strongly,Agree a little,Agree strongly,Agree a little,Agree strongly,Disagree a little,Agree strongly,Disagree strongly,Agree a little,Agree a little,No
Neither agree nor disagree,Disagree a little,Agree a little,Agree strongly,Agree a little,Agree moderately,Agree strongly,Agree a little,Disagree a little,Disagree strongly,No
Disagree a little,Disagree a little,Agree moderately,Agree a little,Agree moderately,Agree a little,Agree a little,Disagree a little,Agree a little,Disagree moderately,Yes
Agree moderately,Disagree a little,Agree a little,Agree moderately,Neither agree nor disagree,Agree a little,Agree strongly,Agree a little,Disagree a little,Agree a little,No
Neither agree nor disagree,Neither agree nor disagree,Agree moderately,Agree a little,Agree moderately,Agree a little,Agree a little,Disagree strongly,Agree a little,Disagree strongly,No
Agree moderately,Agree moderately,Agree moderately,Neither agree nor disagree,Agree moderately,Disagree moderately,Agree moderately,Neither agree nor disagree,Neither agree nor disagree,Disagree a little,No
Agree a little,Agree moderately,Agree strongly,Disagree moderately,Agree a little,Disagree a little,Agree moderately,Disagree strongly,Agree moderately,Disagree strongly,No
Neither agree nor disagree,Agree a little,Agree a little,Agree moderately,Agree moderately,Neither agree nor disagree,Agree strongly,Agree a little,Disagree a little,Disagree a little,No
Neither agree nor disagree,Agree a little,Agree moderately,Agree moderately,Agree strongly,Agree a little,Agree moderately,Agree strongly,Disagree a little,Agree moderately,No
Agree strongly,Agree a little,Disagree a little,Agree a little,Agree strongly,Disagree strongly,Agree strongly,Disagree a little,Disagree a little,Neither agree nor disagree,Yes
Disagree moderately,Agree a little,Agree strongly,Agree moderately,Agree moderately,Agree strongly,Agree a little,Disagree strongly,Agree moderately,Disagree strongly,No
Agree moderately,Agree moderately,Agree moderately,Disagree strongly,Agree strongly,Disagree moderately,Agree a little,Disagree a little,Agree moderately,Disagree moderately,No
Agree strongly,Agree a little,Agree strongly,Disagree strongly,Agree moderately,Disagree a little,Agree moderately,Disagree moderately,Agree a little,Disagree strongly,No
Agree strongly,Neither agree nor disagree,Agree moderately,Disagree moderately,Agree moderately,Disagree strongly,Disagree a little,Agree moderately,Disagree strongly,Agree moderately,Yes
Agree a little,Agree a little,Agree moderately,Agree a little,Neither agree nor disagree,Agree a little,Neither agree nor disagree,Disagree moderately,Agree a little,Disagree strongly,Yes
Agree strongly,Agree a little,Agree a little,Agree moderately,Agree a little,Disagree strongly,Agree strongly,Disagree strongly,Agree a little,Disagree strongly,No
Agree moderately,Neither agree nor disagree,Agree moderately,Agree a little,Agree moderately,Disagree moderately,Agree moderately,Disagree moderately,Disagree moderately,Disagree strongly,Yes
Agree strongly,Agree a little,Agree moderately,Disagree a little,Agree moderately,Disagree strongly,Agree strongly,Disagree moderately,Agree strongly,Disagree strongly,No
Disagree strongly,Agree moderately,Agree strongly,Agree moderately,Disagree moderately,Agree strongly,Disagree a little,Disagree a little,Disagree moderately,Disagree moderately,No
Neither agree nor disagree,Agree a little,Disagree moderately,Disagree moderately,Agree moderately,Neither agree nor disagree,Neither agree nor disagree,Disagree moderately,Disagree a little,Disagree a little,No
Agree strongly,Agree moderately,Disagree a little,Agree moderately,Agree moderately,Disagree moderately,Agree moderately,Agree a little,Disagree a little,Disagree a little,Yes
Disagree a little,Agree moderately,Agree moderately,Agree moderately,Agree strongly,Agree moderately,Agree moderately,Agree strongly,Agree a little,Disagree moderately,No
Neither agree nor disagree,Disagree a little,Agree a little,Agree moderately,Agree a little,Agree a little,Agree moderately,Agree a little,Agree a little,Disagree a little,No
Agree moderately,Agree strongly,Agree strongly,Agree moderately,Agree a little,Agree strongly,Agree moderately,Agree strongly,Agree a little,Agree a little,No
Agree strongly,Neither agree nor disagree,Agree a little,Disagree a little,Agree strongly,Agree a little,Agree moderately,Disagree moderately,Agree strongly,Disagree a little,Yes
Disagree a little,Disagree moderately,Agree a little,Agree a little,Agree a little,Neither agree nor disagree,Agree a little,Agree moderately,Disagree moderately,Disagree strongly,Yes
Agree strongly,Neither agree nor disagree,Agree strongly,Agree a little,Agree moderately,Disagree a little,Agree moderately,Disagree strongly,Neither agree nor disagree,Disagree strongly,No
Disagree a little,Agree a little,Neither agree nor disagree,Disagree strongly,Agree strongly,Agree strongly,Disagree a little,Disagree moderately,Agree strongly,Disagree strongly,No
Agree a little,Agree a little,Disagree strongly,Agree strongly,Agree strongly,Agree a little,Agree a little,Agree strongly,Disagree strongly,Disagree strongly,No
Agree moderately,Agree moderately,Agree strongly,Disagree moderately,Agree strongly,Disagree a little,Agree strongly,Agree a little,Disagree moderately,Disagree strongly,No
Agree moderately,Neither agree nor disagree,Neither agree nor disagree,Agree moderately,Agree strongly,Disagree strongly,Agree moderately,Agree a little,Disagree strongly,Disagree moderately,No
Agree moderately,Agree a little,Agree moderately,Agree strongly,Agree strongly,Neither agree nor disagree,Agree strongly,Agree a little,Disagree a little,Neither agree nor disagree,Yes
Agree a little,Disagree a little,Disagree a little,Agree moderately,Disagree moderately,Disagree moderately,Agree moderately,Agree moderately,Disagree moderately,Agree moderately,No
Agree strongly,Disagree a little,Agree strongly,Disagree strongly,Agree strongly,Disagree strongly,Agree strongly,Agree a little,Disagree a little,Disagree strongly,No
Disagree strongly,Disagree a little,Disagree moderately,Disagree strongly,Disagree moderately,Disagree a little,Disagree moderately,Disagree moderately,Agree a little,Disagree strongly,No
Disagree a little,Agree a little,Disagree moderately,Agree moderately,Agree moderately,Agree a little,Neither agree nor disagree,Agree a little,Disagree a little,Disagree moderately,Yes
Disagree a little,Neither agree nor disagree,Disagree moderately,Agree moderately,Agree strongly,Disagree a little,Neither agree nor disagree,Agree a little,Disagree a little,Disagree strongly,Yes
Agree a little,Disagree a little,Agree strongly,Disagree moderately,Agree a little,Agree a little,Agree a little,Disagree strongly,Agree strongly,Agree a little,No
Disagree moderately,Agree a little,Disagree moderately,Agree moderately,Agree strongly,Agree moderately,Agree moderately,Agree a little,Disagree a little,Disagree strongly,Yes
Agree a little,Agree a little,Disagree a little,Agree moderately,Agree a little,Disagree moderately,Agree a little,Agree a little,Disagree moderately,Disagree moderately,Yes
Agree strongly,Disagree a little,Agree strongly,Disagree strongly,Disagree a little,Disagree moderately,Agree moderately,Disagree strongly,Agree strongly,Neither agree nor disagree,No
Disagree moderately,Agree a little,Disagree a little,Agree a little,Agree moderately,Agree a little,Agree a little,Agree a little,Disagree a little,Disagree strongly,No
Disagree moderately,Agree moderately,Agree moderately,Agree moderately,Agree strongly,Agree a little,Agree a little,Agree a little,Disagree moderately,Disagree moderately,Yes
Disagree a little,Agree a little,Disagree a little,Agree a little,Agree moderately,Neither agree nor disagree,Agree strongly,Agree a little,Agree a little,Disagree moderately,Yes
Agree moderately,Disagree a little,Agree moderately,Agree a little,Agree moderately,Disagree moderately,Neither agree nor disagree,Disagree moderately,Agree moderately,Disagree a little,No
Disagree moderately,Disagree moderately,Agree moderately,Agree a little,Agree moderately,Disagree a little,Agree moderately,Disagree moderately,Agree a little,Agree moderately,No
Disagree a little,Neither agree nor disagree,Agree a little,Agree moderately,Agree moderately,Agree a little,Agree moderately,Disagree a little,Disagree a little,Disagree moderately,Yes
Disagree moderately,Agree moderately,Disagree moderately,Agree moderately,Agree strongly,Agree a little,Disagree a little,Neither agree nor disagree,Agree a little,Disagree strongly,Yes
Disagree strongly,Agree a little,Agree a little,Agree moderately,Agree strongly,Agree a little,Agree moderately,Disagree moderately,Agree moderately,Disagree moderately,Yes
Agree moderately,Neither agree nor disagree,Agree moderately,Agree moderately,Agree moderately,Disagree moderately,Agree a little,Disagree moderately,Agree strongly,Disagree moderately,No
Agree moderately,Agree moderately,Agree a little,Disagree moderately,Agree strongly,Disagree moderately,Agree a little,Agree a little,Agree moderately,Disagree moderately,No
Agree a little,Agree a little,Disagree moderately,Agree moderately,Agree moderately,Neither agree nor disagree,Disagree a little,Agree a little,Disagree moderately,Disagree strongly,Yes
Agree moderately,Agree a little,Disagree moderately,Agree a little,Agree moderately,Disagree moderately,Disagree a little,Neither agree nor disagree,Agree a little,Disagree a little,Yes
Disagree a little,Agree moderately,Disagree a little,Agree moderately,Agree a little,Agree a little,Neither agree nor disagree,Agree a little,Disagree a little,Disagree moderately,Yes
Agree a little,Agree moderately,Agree a little,Agree a little,Agree moderately,Disagree moderately,Agree a little,Neither agree nor disagree,Agree a little,Disagree moderately,Yes
Agree a little,Disagree moderately,Agree moderately,Disagree a little,Agree a little,Agree a little,Agree moderately,Disagree strongly,Agree moderately,Disagree moderately,No
Agree a little,Disagree moderately,Agree moderately,Disagree moderately,Agree moderately,Disagree a little,Agree moderately,Disagree moderately,Agree a little,Disagree moderately,Yes
Disagree a little,Agree a little,Agree moderately,Agree a little,Agree moderately,Disagree a little,Agree a little,Disagree moderately,Disagree a little,Disagree strongly,No
Disagree a little,Agree a little,Agree a little,Agree moderately,Agree strongly,Disagree a little,Agree a little,Disagree a little,Disagree a little,Disagree strongly,Yes
Agree a little,Agree moderately,Agree strongly,Disagree moderately,Agree strongly,Disagree moderately,Agree a little,Disagree moderately,Agree moderately,Disagree moderately,No
Disagree moderately,Disagree moderately,Agree moderately,Agree moderately,Agree moderately,Agree a little,Agree a little,Disagree a little,Agree moderately,Disagree moderately,Yes
Disagree a little,Neither agree nor disagree,Disagree moderately,Agree a little,Agree moderately,Disagree a little,Disagree a little,Agree a little,Disagree moderately,Disagree moderately,Yes
Agree a little,Agree moderately,Agree moderately,Agree a little,Agree moderately,Disagree a little,Agree a little,Disagree a little,Agree a little,Disagree moderately,Yes
Agree moderately,Neither agree nor disagree,Agree moderately,Agree a little,Agree moderately,Disagree a little,Agree a little,Disagree a little,Agree a little,Disagree moderately,Yes
Agree strongly,Disagree moderately,Agree strongly,Disagree moderately,Agree a little,Agree moderately,Agree moderately,Disagree moderately,Agree moderately,Disagree a little,No
Disagree moderately,Disagree moderately,Agree moderately,Disagree moderately,Agree a little,Agree a little,Agree a little,Disagree moderately,Agree moderately,Disagree moderately,No
Agree a little,Neither agree nor disagree,Agree moderately,Agree a little,Agree moderately,Disagree a little,Agree a little,Disagree moderately,Agree moderately,Disagree strongly,No
Agree moderately,Agree moderately,Agree moderately,Agree moderately,Agree moderately,Disagree moderately,Disagree a little,Disagree moderately,Agree moderately,Disagree moderately,Yes
Agree a little,Agree a little,Agree moderately,Agree strongly,Agree strongly,Neither agree nor disagree,Neither agree nor disagree,Agree a little,Agree a little,Disagree moderately,No
Agree a little,Agree a little,Agree a little,Agree a little,Agree moderately,Disagree moderately,Agree a little,Disagree moderately,Agree moderately,Disagree moderately,No
Disagree moderately,Disagree moderately,Agree a little,Agree moderately,Agree strongly,Disagree moderately,Agree a little,Agree a little,Agree a little,Disagree a little,Yes
Disagree moderately,Disagree a little,Agree moderately,Agree a little,Disagree moderately,Disagree a little,Agree moderately,Disagree moderately,Agree a little,Agree a little,Yes
Agree strongly,Agree a little,Agree strongly,Agree a little,Disagree a little,Disagree moderately,Agree a little,Disagree a little,Agree a little,Disagree moderately,No
Agree moderately,Disagree a little,Agree moderately,Disagree a little,Agree moderately,Disagree moderately,Agree moderately,Disagree moderately,Agree moderately,Disagree moderately,No
Agree moderately,Disagree a little,Agree moderately,Disagree moderately,Agree moderately,Disagree moderately,Agree moderately,Disagree moderately,Agree moderately,Agree moderately,No
Agree a little,Disagree a little,Agree a little,Agree moderately,Agree moderately,Disagree a little,Agree a little,Disagree moderately,Agree strongly,Agree moderately,No
Agree strongly,Disagree a little,Agree moderately,Agree a little,Agree moderately,Disagree moderately,Agree moderately,Disagree moderately,Agree moderately,Disagree moderately,Yes
Agree a little,Disagree a little,Agree moderately,Agree a little,Agree a little,Disagree a little,Agree moderately,Disagree moderately,Disagree moderately,Disagree moderately,No
Agree moderately,Disagree a little,Agree moderately,Agree moderately,Agree moderately,Disagree moderately,Agree moderately,Disagree a little,Disagree moderately,Disagree moderately,Yes
Disagree a little,Disagree moderately,Disagree moderately,Agree moderately,Agree moderately,Agree moderately,Agree moderately,Agree a little,Disagree a little,Disagree moderately,Yes
Disagree a little,Disagree moderately,Agree a little,Agree moderately,Agree strongly,Agree a little,Disagree moderately,Agree a little,Disagree a little,Disagree a little,No
Agree a little,Agree a little,Disagree moderately,Agree moderately,Agree strongly,Disagree moderately,Agree moderately,Agree a little,Disagree a little,Disagree moderately,Yes
Agree moderately,Agree moderately,Agree moderately,Agree moderately,Agree a little,Disagree moderately,Agree a little,Disagree a little,Disagree a little,Disagree moderately,Yes
Agree moderately,Neither agree nor disagree,Agree a little,Disagree moderately,Agree a little,Disagree moderately,Agree moderately,Disagree moderately,Agree moderately,Disagree moderately,No
Agree moderately,Disagree moderately,Agree moderately,Disagree moderately,Agree moderately,Disagree moderately,Agree moderately,Disagree moderately,Agree moderately,Disagree moderately,No
Agree a little,Disagree a little,Agree moderately,Disagree a little,Agree strongly,Disagree a little,Agree moderately,Disagree a little,Agree moderately,Disagree moderately,No
Agree moderately,Neither agree nor disagree,Agree moderately,Agree moderately,Agree a little,Disagree a little,Agree a little,Disagree a little,Neither agree nor disagree,Neither agree nor disagree,Yes
Agree moderately,Neither agree nor disagree,Agree a little,Agree a little,Agree strongly,Disagree moderately,Agree a little,Agree a little,Agree a little,Disagree moderately,Yes
Disagree moderately,Disagree moderately,Agree moderately,Neither agree nor disagree,Agree a little,Agree a little,Agree moderately,Disagree a little,Agree moderately,Disagree moderately,No
Agree a little,Disagree a little,Agree moderately,Disagree strongly,Agree a little,Disagree moderately,Agree moderately,Disagree strongly,Agree moderately,Disagree moderately,No
Disagree a little,Disagree a little,Disagree a little,Disagree strongly,Disagree strongly,Disagree strongly,Agree strongly,Disagree a little,Disagree moderately,Neither agree nor disagree,Yes
Disagree a little,Agree moderately,Agree strongly,Disagree a little,Agree a little,Disagree a little,Agree moderately,Agree moderately,Disagree moderately,Disagree a little,No
Agree moderately,Neither agree nor disagree,Agree moderately,Agree moderately,Agree a little,Agree moderately,Agree moderately,Disagree a little,Neither agree nor disagree,Disagree a little,No
Agree a little,Disagree moderately,Agree moderately,Agree moderately,Agree moderately,Agree moderately,Agree strongly,Disagree strongly,Agree strongly,Agree a little,No
Neither agree nor disagree,Agree a little,Agree strongly,Agree a little,Agree moderately,Agree a little,Agree a little,Disagree a little,Agree moderately,Disagree a little,No
Disagree moderately,Disagree a little,Agree strongly,Disagree moderately,Agree a little,Agree moderately,Agree moderately,Agree a little,Agree a little,Agree a little,No
Agree a little,Agree a little,Agree a little,Agree moderately,Agree a little,Neither agree nor disagree,Agree a little,Agree a little,Agree a little,Agree a little,Yes
Agree moderately,Agree a little,Agree strongly,Agree strongly,Agree moderately,Disagree a little,Neither agree nor disagree,Agree a little,Disagree a little,Disagree strongly,Yes
Agree moderately,Neither agree nor disagree,Agree moderately,Disagree a little,Agree strongly,Disagree strongly,Agree strongly,Disagree moderately,Agree moderately,Disagree strongly,No
Agree moderately,Agree moderately,Agree strongly,Disagree strongly,Agree strongly,Agree moderately,Agree moderately,Disagree strongly,Agree moderately,Neither agree nor disagree,Yes
Agree moderately,Agree strongly,Agree strongly,Disagree a little,Agree moderately,Agree moderately,Disagree a little,Neither agree nor disagree,Agree strongly,Neither agree nor disagree,Yes
Agree moderately,Disagree moderately,Agree strongly,Agree strongly,Agree strongly,Agree moderately,Agree moderately,Disagree strongly,Agree moderately,Disagree strongly,Yes
Agree a little,Agree a little,Neither agree nor disagree,Disagree a little,Neither agree nor disagree,Disagree a little,Disagree a little,Agree a little,Agree a little,Disagree a little,Yes
Neither agree nor disagree,Disagree a little,Neither agree nor disagree,Agree strongly,Agree a little,Agree moderately,Agree moderately,Agree strongly,Agree moderately,Neither agree nor disagree,No
Agree a little,Neither agree nor disagree,Disagree moderately,Disagree strongly,Disagree a little,Agree a little,Agree strongly,Disagree moderately,Agree moderately,Disagree strongly,Yes
Agree moderately,Disagree a little,Agree strongly,Agree a little,Agree strongly,Agree a little,Agree moderately,Disagree strongly,Neither agree nor disagree,Disagree moderately,No
Disagree a little,Neither agree nor disagree,Agree moderately,Agree strongly,Agree strongly,Agree a little,Agree strongly,Disagree a little,Disagree a little,Neither agree nor disagree,No
Agree strongly,Neither agree nor disagree,Agree moderately,Agree strongly,Agree strongly,Agree a little,Agree a little,Agree strongly,Disagree strongly,Agree strongly,Yes
Neither agree nor disagree,Neither agree nor disagree,Agree strongly,Disagree a little,Agree moderately,Agree a little,Agree moderately,Neither agree nor disagree,Agree a little,Disagree a little,Yes
Disagree moderately,,Agree strongly,Agree strongly,Agree moderately,Agree a little,Agree strongly,Agree a little,Neither agree nor disagree,Disagree strongly,Yes
Agree moderately,Agree moderately,Agree strongly,Disagree a little,Agree strongly,Agree strongly,Agree moderately,Neither agree nor disagree,Agree a little,Disagree a little,Yes
Neither agree nor disagree,Agree moderately,Agree moderately,Agree moderately,Disagree a little,Disagree moderately,Disagree strongly,Disagree a little,Disagree strongly,Disagree strongly,Yes
Agree strongly,Neither agree nor disagree,Agree strongly,Disagree moderately,Agree moderately,Agree a little,Agree a little,Agree a little,Agree moderately,Disagree strongly,No
Agree moderately,,Agree moderately,Agree a little,Neither agree nor disagree,Agree moderately,Agree moderately,Agree a little,Agree a little,Disagree moderately,No
Agree strongly,Agree strongly,Agree strongly,Agree strongly,Agree strongly,Disagree a little,Agree moderately,Neither agree nor disagree,Neither agree nor disagree,Disagree strongly,Yes
Agree moderately,Agree strongly,Agree moderately,Agree strongly,Agree a little,Disagree a little,Neither agree nor disagree,Disagree a little,Disagree moderately,Neither agree nor disagree,Yes
Agree moderately,Agree a little,Agree moderately,Agree strongly,Agree moderately,Disagree a little,Agree strongly,Agree moderately,Agree strongly,Disagree moderately,Yes
Agree strongly,Neither agree nor disagree,Agree strongly,Neither agree nor disagree,Agree strongly,Agree a little,Agree a little,Disagree strongly,Neither agree nor disagree,Disagree strongly,No
Agree moderately,Disagree moderately,Agree a little,Agree strongly,Agree moderately,Agree moderately,Neither agree nor disagree,Agree a little,Disagree moderately,Disagree strongly,No
Agree moderately,Neither agree nor disagree,Agree strongly,Disagree strongly,Agree strongly,Agree strongly,Agree strongly,Disagree strongly,Agree strongly,Disagree strongly,No
Agree a little,Neither agree nor disagree,Agree moderately,Disagree moderately,Agree moderately,Neither agree nor disagree,Disagree a little,Disagree moderately,Agree moderately,Disagree moderately,No
Agree strongly,,Agree strongly,Disagree strongly,Agree strongly,Agree strongly,Agree strongly,Disagree strongly,Disagree strongly,Disagree strongly,No
Agree strongly,Disagree a little,Agree moderately,Disagree moderately,Agree moderately,Disagree strongly,Agree strongly,Disagree strongly,Agree moderately,Disagree strongly,Yes
Agree a little,Disagree moderately,Agree a little,Agree strongly,Agree strongly,Neither agree nor disagree,Agree strongly,Agree moderately,Disagree moderately,Disagree moderately,Yes
Disagree a little,,Agree strongly,Agree a little,Agree a little,Agree moderately,Agree strongly,Disagree strongly,Agree strongly,Disagree moderately,No
Agree moderately,Agree moderately,Agree moderately,Agree moderately,Agree moderately,Agree a little,Agree a little,Disagree a little,Disagree strongly,Neither agree nor disagree,Yes
Neither agree nor disagree,,Agree a little,Agree strongly,Disagree strongly,Agree moderately,Agree strongly,Disagree strongly,Agree strongly,Disagree strongly,No
Agree a little,Disagree moderately,Agree moderately,Agree strongly,Disagree a little,Agree strongly,Agree moderately,Neither agree nor disagree,Agree moderately,Disagree strongly,No
